Player_Name,Age,Height,Weight,Forward,Goalkeeper,Midfielder,Attaking_Midfielder,Center,Defender,Appearances,Substitute(Appearances),Playtime(Minutes),Goals,Assists,Yellow_Cards,Red_Cards,Set_piece_Goal,Passing_Percentage,AerialsWon,Man_Of_The_Matches,Rating
Benjamin Bourigeaud ,29,0.44,0.472727273,0,0,1,0,1,0,37,0,3084,7,10,4,1,2,80.8,0.3,4,7.15
Amine Gouiri ,23,0.48,0.509090909,1,0,1,1,0,0,29,4,2532,15,3,3,0,2.2,79.8,0.9,1,7.12
Jeremy Doku ,21,0.34,0.4,0,0,1,1,0,0,13,16,1287,6,2,0,0,0.9,86.4,0.1,4,7.08
Gaetan Laborde ,29,0.5,0.618181818,1,0,1,1,1,0,3,1,251,2,0,0,0,2.8,69,1.5,0,6.86
Baptiste Santamaria ,28,0.54,0.672727273,0,0,1,0,1,1,20,5,1815,2,0,2,0,0.8,85.5,2.4,1,6.84
Adrien Truffert ,21,0.4,0.472727273,0,0,1,0,0,1,24,4,1962,0,6,2,0,0.4,80.8,1.2,1,6.83
Hamari Traore ,31,0.38,0.527272727,0,0,1,0,0,1,28,3,2531,1,4,5,0,1,87,1.1,0,6.82
Djed Spence ,22,0.58,0.563636364,0,0,1,0,0,1,7,1,575,0,0,0,0,0.4,88.8,0.5,0,6.82
Lovro Majer ,25,0.44,0.581818182,0,0,1,1,1,0,18,14,1670,2,5,3,0,1.1,82.1,0.2,1,6.72
Warmed Omari ,23,0.64,0.545454545,0,0,0,0,1,1,15,1,1363,0,0,2,1,0.2,92.9,2.3,0,6.72
Desire Doue ,18,0.5,0.563636364,0,0,1,1,1,0,11,15,1116,3,1,5,0,0.8,81.2,0.4,1,6.71
Arthur Theate ,23,0.58,0.672727273,0,0,0,0,1,1,35,0,3129,4,0,5,0,0.9,89.6,2,1,6.71
Steve Mandanda ,38,0.62,0.8,0,1,0,0,0,0,34,0,3016,0,1,1,0,0,71.9,0.2,2,6.7
Karl Toko Ekambi ,30,0.54,0.545454545,1,0,1,1,0,0,11,6,973,3,2,0,0,1.3,73.5,1.1,0,6.68
Jeanuel Belocian ,18,0.48,0.563636364,0,0,0,0,0,1,6,2,508,0,0,1,0,0.1,89.6,0.9,0,6.66
Joe Rodon ,25,0.74,0.8,0,0,0,0,1,1,16,0,1418,1,0,2,1,0.4,90.1,2.8,1,6.65
Flavien Tait ,30,0.38,0.472727273,0,0,1,0,1,0,19,11,1685,2,2,2,0,0.8,86.5,0.2,1,6.62
Arnaud Kalimuendo ,21,0.38,0.345454545,1,0,0,0,0,0,24,6,1862,7,3,0,0,1.4,84.4,0.4,1,6.62
Christopher Wooh ,21,0.7,0.745454545,0,0,0,0,1,1,12,1,1007,0,0,4,0,0.4,92.4,1.7,0,6.62
Loic Bade ,23,0.7,0.818181818,0,0,0,0,1,1,1,0,90,0,1,1,0,2,88.1,2,0,6.57
Lesley Ugochukwu ,19,0.64,0.563636364,0,0,1,0,1,1,14,12,1330,0,1,3,1,0.2,87.6,0.6,0,6.48
Xeka ,28,0.58,0.709090909,0,0,1,0,1,0,6,2,551,0,0,1,0,0.6,90,1,0,6.47
Kamaldeen Sulemana ,21,0.38,0.472727273,1,0,1,1,0,0,2,12,317,1,0,1,0,0.9,85.7,0.3,0,6.47
Birger Meling ,28,0.34,0.363636364,0,0,1,0,1,1,10,17,1200,0,1,3,1,0,86.2,0.5,0,6.37
Ibrahim Salah ,21,0.58,0.563636364,1,0,0,0,0,0,1,12,218,0,0,0,0,0.5,80.4,0.2,0,6.29
Matthis Abline ,20,0.4,0.563636364,1,0,0,0,0,0,0,11,97,1,0,0,0,0.5,53.8,0.1,0,6.22
Serhou Guirassy ,27,0.62,0.690909091,1,0,1,1,0,0,0,1,22,0,0,0,0,2,100,0,0,6.2
Lorenz Assignon ,23,0.46,0.418181818,0,0,0,0,0,1,2,10,254,0,1,3,0,0.3,83.6,0.7,0,6.2
Dogan Alemdar ,20,0.66,0.563636364,0,1,0,0,0,0,4,2,406,0,0,1,0,0,62.3,0.3,0,6.11
Guela Doue ,20,0.6,0.563636364,0,0,0,0,0,1,0,2,10,0,0,0,0,0.5,90,0.5,0,6.07
Alan Do Marcolino ,21,0.38,0.563636364,1,0,0,0,0,0,0,3,16,0,0,0,0,0,100,0,0,6.03
Romain Salin ,38,0.6,0.581818182,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6
Fredrik Aursnes ,27,0.46,0.490909091,0,0,1,0,1,1,2,0,180,0,0,0,0,1,87.6,1.5,0,7.35
Orkun Kokcu ,22,0.38,0.472727273,0,0,1,0,1,1,31,1,2700,8,2,6,0,2.6,84.6,0.3,3,7.34
David Hancko ,25,0.64,0.690909091,0,0,0,0,1,1,31,0,2749,2,4,2,0,1.4,87.9,1.2,1,7.18
